date,max_temp,min_temp
2026-05-03,16.2,2.0
2026-05-04,21.5,4.9
2026-05-05,24.9,9.9
2026-05-06,27.1,13.0
2026-05-07,28.8,14.5
2026-05-08,27.3,15.1
2026-05-09,25.1,12.7
2026-05-10,24.3,14.0
