date,max_temp,min_temp
2026-05-03,15.3,4.9
2026-05-04,19.1,7.1
2026-05-05,22.4,6.9
2026-05-06,24.8,10.3
2026-05-07,26.3,12.3
2026-05-08,24.6,13.0
2026-05-09,24.7,12.3
2026-05-10,23.8,14.4
